"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JSON", "PostCSS", "TypeScript JSX", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\nagar\Desktop\Rowen__\Rowen\.github\agents\analytics-telemetry.agent.md", "Markdown", 0, 0, 53, 0, 0, 0, 0, 0, 0, 10, 63
"c:\Users\nagar\Desktop\Rowen__\Rowen\.github\agents\code-explainer.agent.md", "Markdown", 0, 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"c:\Users\nagar\Desktop\Rowen__\Rowen\.github\agents\data-analyst-builder.agent.md", "Markdown", 0, 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\nagar\Desktop\Rowen__\Rowen\.github\agents\data-connector.agent.md", "Markdown", 0, 0, 51, 0, 0, 0, 0, 0, 0, 10, 61
"c:\Users\nagar\Desktop\Rowen__\Rowen\.github\agents\debugging.agent.md", "Markdown", 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\nagar\Desktop\Rowen__\Rowen\.github\agents\founder.agent.md", "Markdown", 0, 0, 46, 0, 0, 0, 0, 0, 0, 8, 54
"c:\Users\nagar\Desktop\Rowen__\Rowen\.github\agents\product-evolution-orchestrator.agent.md", "Markdown", 0, 0, 47, 0, 0, 0, 0, 0, 0, 7, 54
"c:\Users\nagar\Desktop\Rowen__\Rowen\.github\agents\prompt-architecture-reviewer.agent.md", "Markdown", 0, 0, 47, 0, 0, 0, 0, 0, 0, 9, 56
"c:\Users\nagar\Desktop\Rowen__\Rowen\.github\agents\readme-docs-writer.agent.md", "Markdown", 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\nagar\Desktop\Rowen__\Rowen\.github\agents\reliability-security.agent.md", "Markdown", 0, 0, 53, 0, 0, 0, 0, 0, 0, 10, 63
"c:\Users\nagar\Desktop\Rowen__\Rowen\README.md", "Markdown", 0, 0, 54, 0, 0, 0, 0, 0, 0, 20, 74
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\(auth)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\(auth)\sign-in\[[...sign-in]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\(auth)\sign-out\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\(auth)\sign-up\[[...sign-up]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\api\chat\route.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 28, 13, 99
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\api\session\dbClient.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\api\session\errors.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\api\session\mappers.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\api\session\queries.ts", "TypeScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 16, 99
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\api\session\route.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 1, 15, 72
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\api\session\types.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\globals.css", "PostCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\nagar\Desktop\Rowen__\Rowen\app\styles\base.css", "PostCSS", 0, 0, 0, 0, 43, 0, 0, 0, 0, 6, 49
